01# Relevant columns are: 
02# 
03# 4. R_proj (kpc)
04# 5. PA (deg east of north) (only populated for clusters with a velocity, for now)
05# 15. M31-centric velocity  (km/s)  (not all clusters)
06# 16. error  (km/s)
07# 18. Classification (Substructure, Non-substructure, Ambiguous)
08# 
09# For the classification, “ambiguous” means could be either “substructure” or “non-substructure”. 
10#
11# Name   RA   Dec   R_proj   PA   zeta_MP   zeta_MP   M_V   Source   r_h   Source   (V-I)_0   Source   V_helio   err   V_M31   err   Source   Classification 
12# PAndAS-03  00:03:56.4  +40:53:19.2  100.0  ...  0.16  0.29  -4.17  H14  27.4  H14  0.86  H14  ...  ...  ...  ...  ...  Ambiguous 
13# PAndAS-20  00:31:23.7  +41:59:20.1  30.6  ...  0.65  0.88  -5.43  H14  6.3  H14  1.00  H14  ...  ...  ...  ...  ...  Non-substructure 
14# PAndAS-24  00:33:50.6  +38:38:28.0  42.8  ...  0.19  0.39  -4.68  H14  16.9  H14  0.91  H14  ...  ...  ...  ...  ...  Ambiguous 
15# PAndAS-25  00:34:06.2  +43:15:06.7  34.8  ...  0.65  0.67  -5.21  H14  5.4  H14  1.04  H14  ...  ...  ...  ...  ...  Non-substructure 
16# PAndAS-26  00:34:45.1  +38:26:38.1  43.9  ...  0.12  0.36  -5.10  H14  6.4  H14  1.09  H14  ...  ...  ...  ...  ...  Ambiguous 
17# dTZZ-05    00:36:08.6  +39:17:30.0  32.0  ...  0.05  0.05  -7.03  dTZ14  3.0  dTZ14  0.86  dTZ14  ...  ...  ...  ...  ...  Ambiguous 
18# HEC3       00:36:31.7  +44:44:16.5  49.9  ...  0.81  0.75  -5.36  H14  17.6  H14  1.00  H14  ...  ...  ...  ...  ...  Non-substructure 
19# PAndAS-30  00:38:29.0  +37:58:39.2  46.4  ...  0.38  0.44  -5.42  H14  10.9  H14  0.96  H14  ...  ...  ...  ...  ...  Non-substructure 
20# PAndAS-31  00:39:59.8  +43:03:19.7  25.4  ...  0.48  0.67  -4.41  H14  18.5  H14  0.99  H14  ...  ...  ...  ...  ...  Non-substructure 
21# PAndAS-33  00:40:57.4  +38:38:10.2  36.3  ...  0.39  0.35  -5.39  H14  35.8  H14  0.88  H14  ...  ...  ...  ...  ...  Non-substructure 
22# HEC7       00:42:55.1  +43:57:27.3  36.7  ...  0.11  0.31  -6.57  H14  24.9  T12  0.99  H14  ...  ...  ...  ...  ...  Ambiguous 
23# PAndAS-38  00:49:45.7  +47:54:33.1  92.3  ...  0.59  0.46  -4.50  H14  24.4  H14  0.83  H14  ...  ...  ...  ...  ...  Non-substructure 
24# PAndAS-39  00:50:36.2  +42:31:49.3  26.4  ...  0.17  0.16  -6.19  H14  13.0  H14  1.04  H14  ...  ...  ...  ...  ...  Ambiguous 
25# PAndAS-40  00:50:43.8  +40:03:30.2  26.5  ...  0.86  0.91  -5.13  H14  10.0  H14  0.95  H14  ...  ...  ...  ...  ...  Non-substructure 
26# dTZZ-21    01:28:49.2  +47:04:22.0  137.8  ...  0.59  0.89  -7.25  dTZ14  4.9  dTZ14  0.93  dTZ14  ...  ...  ...  ...  ...  Non-substructure 
B517       00:59:59.9  +41:54:06.8  44.9  77.5  0.15  0.23  -8.17  P10  ...    ...  0.93  P10  -277  13  16  13    V14  Substructure 
